type,slope,intercept,r_value,p_value,std_err
Vect,3.6430765589453516e-05,-0.003737354163779922,0.6388784281390351,2.9155955310072156e-189,1.0825889320800964e-06
Apply,2.7710318663419593e-05,0.0055522711783981965,0.8766016832763196,0.0,3.753991733929023e-07
List,0.00017213491323324212,0.005051779073465684,0.9361063013364579,0.0,1.5960659541405819e-06
Cython,0.00010581987512266763,0.000742074713813004,0.8837804748971674,0.0,1.3825821944854652e-06
Itertuples,0.0008933488300528079,0.011396149294833346,0.9974496883784718,0.0,1.5775315261341007e-06
Iterrows,0.010443724843493804,0.18443035532478724,0.9893669430621501,0.0,3.7887676056435977e-05
